[BPHARMPCI][GRADING][SEM4] "B.Pharmacy As per PCI Regulations"
[BPHARMPCI][GRADING][SEM5] "B.Pharmacy As per PCI Regulations"
[BPHARMPCI][GRADING][SEM6] "B.Pharmacy As per PCI Regulations"
[BPHARMPCI][GRADING][SEM7] "B.Pharmacy As per PCI Regulations"
[BPHARMPCI][GRADING][SEM8] "B.Pharmacy As per PCI Regulations"
[BPHARM][GRADING][SEM1] "B.Pharm"
[BPHARM][GRADING][SEM2] "B.Pharm"
[BPHARM][GRADING][SEM3] "B.Pharm.(Grading Sys.)"
[BPHARM][GRADING][SEM4] "B.Pharm.(Grading Sys.)"
[BPHARM][GRADING][SEM5] "B.Pharm(Grading)"
[BPHARM][GRADING][SEM6] "VI B.Pharm Syllabus (Grading System)"
[BPHARM][GRADING][SEM8] "B. Pharmacy (Grading System)"
[BPHARM][NONGRADING][SEM4] "B.Pharm"
[BPHARM][NONGRADING][SEM5] "B.Pharmacy 5th Sem"
[BPHARM][NONGRADING][SEM8] "B.Pharma 8 sem"
[BPHARM][LATERALENTRY][SEM5] "B.Pharmacy V Sem 2015 Admitted Student"
[BPHARM][CBCS][SEM1] "B.Pharmacy CBCS System 2015 admitted students"
[BPHARM][CBCS][SEM2] "B.Pharmacy CBCS System 2015 admitted students"
[BPHARM][CBCS][SEM3] "B.Pharmacy CBCS System 2015 admitted students"
[BPHARM][CBCS][SEM4] "B.Pharmacy CBCS System 2015 admitted students"
[BPHARM][CBGS][SEM5] "B.Pharmacy As per PCI Regulations"
[BPHARM][CBGS][SEM6] "B.Pharmacy As per PCI Regulations"
[BPHARM][CBGS][SEM7] "B.Pharmacy 2015 16 Admitted Students"
[BPHARM][CBGS][SEM8] "B.Pharmacy 2015 16 Admitted Students"
[BARCH][GRADING][SEM1] "B.Arch. ( Grading Sys.)"
[BARCH][GRADING][SEM2] "B.Arch. Grading Sys."
[BARCH][GRADING][SEM3] "B.Arch. Grading Sys."
[BARCH][GRADING][SEM4] "B.Arch. ( Grading Sys.)"
[BARCH][GRADING][SEM8] "B.Arch Syllabus 8 Semster"
[BARCH][NONGRADING][SEM5] "B.Arch.5 Semster"
[BARCH][COA][SEM1] "B.Arch As per COA students admitted in 2019"
[BARCH][COA][SEM2] "B.Arch As per COA students admitted in 2019"
[BARCH][COA][SEM3] "B.Arch As per COA students admitted in 2019"
[BARCH][COA][SEM4] "B.Arch As per COA students admitted in 2019"
[BARCH][COA][SEM9] "Syllabus B.Arch CoA IX Semeter"
[BARCH][COA][SEM10] "Syllabus B.Arch CoA X Semeter"
[ME][GRADING][SEM1] "Computer Sc. and Engg.(Grading Sys)"
[ME][GRADING][SEM1] "CTA, Software System (Grading Sys)"
[ME][GRADING][SEM1] "power System(Grading Sys)"
[ME][GRADING][SEM1] "Digital Communication(Grading Sys)"
[ME][GRADING][SEM1] "Microwave Engg.(Grading Sys)"
[ME][GRADING][SEM1] "Industrial Design, Prd and Ind system(Grading Sys)"
[ME][GRADING][SEM1] "Industrial Engg. and Management(Grading Sys)"
[ME][GRADING][SEM1] "Machine Design (Gradingn Sys.)"
[ME][GRADING][SEM1] "Software Engg. (Grading Sys.)"
[ME][GRADING][SEM1] "Information Tech.(Grading Sys.)"
[ME][GRADING][SEM1] "Control System (Grading Sys.)"
[ME][GRADING][SEM1] "Power Electronics (Grading Sys.)"
[ME][GRADING][SEM1] "Structural Engg.(Grading Sys.)"
[ME][GRADING][SEM1] "Construction Tech. and Mgt.(Grading Sys)"
[ME][GRADING][SEM1] "Adv. Production System Grading Sys."
[ME][GRADING][SEM1] "Heat Power Engg.(Grading Sys)"
[ME][GRADING][SEM1] "Thermal Engg. ( Grading Sys.)"
[ME][GRADING][SEM1] "Syllabus for Electronics Instrumental Engg 1 Sem"
[ME][GRADING][SEM1] "Syllabus for 1 Sem High Voltage and Power System"
[ME][GRADING][SEM1] "CAD CAM Engineering (Advance Production System)"
[ME][GRADING][SEM1] "Transportation Engineering (Grading System)"
[ME][GRADING][SEM2] "Control System (Grading sys)"
[ME][GRADING][SEM2] "Heat Power,H.Pand Thermal, TS and Dgn(Grading sys)"
[ME][GRADING][SEM2] "Industrial Engg. and Management(Grading sys)"
[ME][GRADING][SEM2] "Digital Communication(Grading sys)"
[ME][GRADING][SEM2] "Power Elec,E.M.and Drives,P.E.andSys (Grading sys)"
[ME][GRADING][SEM2] "Power System(Grading sys)"
[ME][GRADING][SEM2] "Ind. Dgn, Product and Ind. Sys.(Grading sys)"
[ME][GRADING][SEM2] "Computer Tech. and App, Software Sys(Grading sys)"
[ME][GRADING][SEM2] "Microwave Engg, Micro and MilliEngg(Grading sys)"
[ME][GRADING][SEM2] "Software Engg (Grading Sys)"
[ME][GRADING][SEM2] "Syllabus for Electronics Instrumental Engg 2 Sem"
[ME][GRADING][SEM2] "Syllabus for 2 Sem High Voltage and Power System"
[ME][GRADING][SEM2] "Transportation Engineering (Grading System)"
[ME][GRADING][SEM2] "Computer Integrated Manufacturing (Grading)"
[ME][GRADING][SEM2] "Advance Production System Grading"
[ME][GRADING][SEM2] "Syllabus ME II Sem Production and Ind System"
[ME][GRADING][SEM3] "Digital Comm. ( Grading Sys.)"
[ME][GRADING][SEM3] "Construction Tech. and Mgmt.(Grading Sys.)"
[ME][GRADING][SEM3] "Computer Sc. and Engg.( Grading Sys.)"
[ME][GRADING][SEM3] "Computer Sc.( Grading Sys.)"
[ME][GRADING][SEM3] "Computer Tech. and Application(Grading Sys.)"
[ME][GRADING][SEM3] "Software Systems (Grading Sys.)"
[ME][GRADING][SEM3] "Information Tech. ( Grading Sys)"
[ME][GRADING][SEM3] "Control System ( Grading Sys.)"
[ME][GRADING][SEM3] "Power Electronics (Grading Sys.)"
[ME][GRADING][SEM3] "Power System (Grading Sys.)"
[ME][GRADING][SEM3] "Structural Engg.( Grading Sys.)"
[ME][GRADING][SEM3] "Advance Prod. Sys. Grading Sys."
[ME][GRADING][SEM3] "Computer Integrated Mfg.( Grading Sys)"
[ME][GRADING][SEM3] "Thermal Engg.( Grading Sys.)"
[ME][GRADING][SEM3] "Heat Power and Thermal ( Grading Sys.)"
[ME][GRADING][SEM3] "Machine Design ( Grading Sys.)"
[ME][GRADING][SEM3] "Production and Industrial Sys. ( Grading Sys.)"
[ME][GRADING][SEM3] "Industrial Engg. and Management ( Grading Sys.)"
[ME][GRADING][SEM3] "Software Engg.( Grading Sys)"
[ME][GRADING][SEM3] "Syllabus for Electronics Instrumental Engg 3 Sem"
[ME][GRADING][SEM3] "Syllabus for 3 Sem High Voltage and Power System"
[ME][GRADING][SEM3] "Syllabus ME Transportation Engineering III Sem"
[ME][NONGRADING][SEM2] "Thermal Engg. Grading Sys."
[ME][NONGRADING][SEM2] "Heat Power Engg.Grading Sys"
[MTECH][GRADING][SEM1] "Adv. Production Sys.(Grading sys)"
[MTECH][GRADING][SEM1] "Heat Power, Thermal, T S DGN(Grading sys)"
[MTECH][GRADING][SEM1] "Control System(Grading sys)"
[MTECH][GRADING][SEM1] "Power Elec, Ele. Mc and Drives, P.E.S(Grading sys)"
[MTECH][GRADING][SEM1] "Structural Engg.(Grading sys)"
[MTECH][GRADING][SEM1] "Digital Communication(Grading sys)"
[MTECH][GRADING][SEM1] "Microwave and Millimeter Engg. (Grading sys)"
[MTECH][GRADING][SEM1] "Construction Tech. and Mgt. (Grading sys)"
[MTECH][GRADING][SEM1] "Computer Sc. and Engg.(Grading Sys.)"
[MTECH][GRADING][SEM1] "Software Engg. (Grading Sys.)"
[MTECH][GRADING][SEM1] "Computer Tech.and App.(Grading Sys.)"
[MTECH][GRADING][SEM1] "Power System ( Grading Sys.)"
[MTECH][GRADING][SEM1] "Industrial Design ( Grading Sys)"
[MTECH][GRADING][SEM1] "Industrial Engg. Mgt, ( Grading Sys)"
[MTECH][GRADING][SEM1] "Energy Tech. ( Grading Sys)"
[MTECH][GRADING][SEM1] "Nanotechnology (Grading Sys)"
[MTECH][GRADING][SEM1] "Industrial Safety Engg. ( Grading Sys)"
[MTECH][GRADING][SEM1] "Building Construction Technology"
[MTECH][GRADING][SEM1] "Syllabus for Digital Electronics I Sem"
[MTECH][GRADING][SEM1] "Syllabus For Digital Instrumentation 1 Sem"
[MTECH][GRADING][SEM1] "Construction Planning Management (Grading Sys)"
[MTECH][GRADING][SEM1] "Power System Automation(Regular)"
[MTECH][GRADING][SEM1] "Environmental Engineering (Grading System)"
[MTECH][GRADING][SEM1] "CAD CAM Engineering (Grading)"
[MTECH][GRADING][SEM1] "Computer Integrated Manufacturing (Grading)"
[MTECH][GRADING][SEM1] "Production Engineering (Grading)"
[MTECH][GRADING][SEM1] "Artificial Intelligence and Machine Learning"
[MTECH][GRADING][SEM2] "Information Tech (Grading sys)"
[MTECH][GRADING][SEM2] "Bio Technology(Grading sys)"
[MTECH][GRADING][SEM2] "Nanotechnology(Grading sys)"
[MTECH][GRADING][SEM2] "Energy Technology(Grading sys)"
[MTECH][GRADING][SEM2] "Industrial Safety(Grading sys)"
[MTECH][GRADING][SEM2] "Structural Engg(Grading sys)"
[MTECH][GRADING][SEM2] "Const. Tech. and Management(Grading sys)"
[MTECH][GRADING][SEM2] "Advance Production System, CIM(Grading sys)"
[MTECH][GRADING][SEM2] "Software Engg.(Grading Sys)"
[MTECH][GRADING][SEM2] "Syllabus For Digital Electronics 2 Sem"
[MTECH][GRADING][SEM2] "Syllabus For Digital Instrumentation 2 Sem"
[MTECH][GRADING][SEM2] "Construction Planning Management (Grading Sys)"
[MTECH][GRADING][SEM2] "Power System Automation(Regular)"
[MTECH][GRADING][SEM2] "CAD CAM Engg (Grading System)"
[MTECH][GRADING][SEM2] "Environmental Engg. (Grading System)"
[MTECH][GRADING][SEM2] "Production Engineering (Grading)"
[MTECH][GRADING][SEM2] "Digital Communication"
[MTECH][GRADING][SEM2] "Artificial Intelligence and Machine Learning"
[MTECH][GRADING][SEM3] "Energy Technology(Grading Sys.)"
[MTECH][GRADING][SEM3] "Digital Comm. ( Grading Sys.)"
[MTECH][GRADING][SEM3] "Microwave and Millimeter Engg. ( Grading Sys.)"
[MTECH][GRADING][SEM3] "Construction Tech. and Mgmt.(Grading Sys.)"
[MTECH][GRADING][SEM3] "Computer Sc.( Grading Sys.)"
[MTECH][GRADING][SEM3] "Computer Tech. and Application(Grading Sys.)"
[MTECH][GRADING][SEM3] "Software Systems (Grading Sys.)"
[MTECH][GRADING][SEM3] "Information Tech. ( Grading Sys)"
[MTECH][GRADING][SEM3] "Control System ( Grading Sys.)"
[MTECH][GRADING][SEM3] "Power Electronics ( Grading Sys.)"
[MTECH][GRADING][SEM3] "Power System (Grading Sys.)"
[MTECH][GRADING][SEM3] "Structural Engg.( Grading Sys.)"
[MTECH][GRADING][SEM3] "Computer Integrated Mfg.( Grading Sys)"
[MTECH][GRADING][SEM3] "Heat Power Thermal (Grading Sys.)"
[MTECH][GRADING][SEM3] "Machine Design ( Grading Sys.)"
[MTECH][GRADING][SEM3] "Industrial Design ( Grading Sys.)"
[MTECH][GRADING][SEM3] "Industrial Engg. and Management ( Grading Sys.)"
[MTECH][GRADING][SEM3] "Software Engg.( Grading Sys)"
[MTECH][GRADING][SEM3] "Industrial Safety (Grading Sys.)"
[MTECH][GRADING][SEM3] "Thermal Engg.( Grading Sys.)"
[MTECH][GRADING][SEM3] "Syllabus For Digital Electronics 3 Sem"
[MTECH][GRADING][SEM3] "Syllabus For Digital Instrumentation 3 Sem"
[MTECH][GRADING][SEM3] "Construction Planning Management (Grading Sys)"
[MTECH][GRADING][SEM3] "Power System Automation(Regular)"
[MTECH][GRADING][SEM3] "Advance Production System (Grading)"
[MTECH][GRADING][SEM3] "Production Engineering (Grading)"
